KEY_WORD (1, 1): Integer
IDENTIFIER (1, 9): a
DELIMITER (1, 10): ,
IDENTIFIER (1, 12): b
DELIMITER (1, 13): ,
IDENTIFIER (1, 15): cs
DELIMITER (1, 17): ;
KEY_WORD (2, 1): Begin
IDENTIFIER (3, 1): a
ASGN (3, 2): :=
OPERATION_LOW (3, 4): -
IDENTIFIER (3, 5): a
OPERATION_LOW (3, 6): +
IDENTIFIER (3, 7): b
DELIMITER (3, 8): ;
IDENTIFIER (4, 1): b
ASGN (4, 2): :=
DELIMITER (4, 4): (
IDENTIFIER (4, 5): A
OPERATION_LOW (4, 6): +
IDENTIFIER (4, 7): B
DELIMITER (4, 8): )
OPERATION_HIGH (4, 9): *
IDENTIFIER (4, 10): C
DELIMITER (4, 11): ;
IDENTIFIER (5, 1): c
ASGN (5, 2): :=
IDENTIFIER (5, 4): a
OPERATION_LOW (5, 6): +
IDENTIFIER (5, 8): b
OPERATION_HIGH (5, 10): *
IDENTIFIER (5, 12): c
OPERATION_LOW (5, 14): +
IDENTIFIER (5, 16): d
DELIMITER (5, 17): ;
IDENTIFIER (6, 1): d
ASGN (6, 2): :=
DELIMITER (6, 4): (
IDENTIFIER (6, 5): a
OPERATION_LOW (6, 7): +
IDENTIFIER (6, 9): b
DELIMITER (6, 10): )
OPERATION_HIGH (6, 12): *
DELIMITER (6, 14): (
IDENTIFIER (6, 15): c
OPERATION_LOW (6, 17): +
IDENTIFIER (6, 19): d
DELIMITER (6, 20): )
DELIMITER (6, 21): ;
IDENTIFIER (7, 1): e
ASGN (7, 2): :=
DELIMITER (7, 4): (
IDENTIFIER (7, 5): a
OPERATION_LOW (7, 6): +
DELIMITER (7, 7): (
IDENTIFIER (7, 8): a
OPERATION_LOW (7, 9): -
IDENTIFIER (7, 10): b
DELIMITER (7, 11): )
DELIMITER (7, 12): )
OPERATION_HIGH (7, 13): *
DELIMITER (7, 14): (
IDENTIFIER (7, 15): b
OPERATION_LOW (7, 16): +
CONSTANT (7, 17): 2
OPERATION_LOW (7, 18): -
IDENTIFIER (7, 19): a
DELIMITER (7, 20): )
DELIMITER (7, 21): ;
IDENTIFIER (8, 1): e
ASGN (8, 2): :=
DELIMITER (8, 4): (
IDENTIFIER (8, 5): a
OPERATION_LOW (8, 6): +
DELIMITER (8, 7): (
IDENTIFIER (8, 8): a
OPERATION_LOW (8, 9): -
IDENTIFIER (8, 10): b
DELIMITER (8, 11): )
DELIMITER (8, 12): )
OPERATION_HIGH (8, 13): *
DELIMITER (8, 14): (
IDENTIFIER (8, 15): b
OPERATION_LOW (8, 16): +
CONSTANT (8, 17): 2
OPERATION_LOW (8, 18): -
IDENTIFIER (8, 19): a
DELIMITER (8, 20): )
DELIMITER (8, 21): ;
IDENTIFIER (9, 1): e
ASGN (9, 2): :=
DELIMITER (9, 4): (
IDENTIFIER (9, 5): a
OPERATION_LOW (9, 6): +
DELIMITER (9, 7): (
IDENTIFIER (9, 8): a
OPERATION_LOW (9, 9): -
IDENTIFIER (9, 10): b
DELIMITER (9, 11): )
DELIMITER (9, 12): )
OPERATION_HIGH (9, 13): *
DELIMITER (9, 14): (
IDENTIFIER (9, 15): b
